City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Porto Novo,BJ,6.4965,2.6036,75.33,66,37,2.89,scattered clouds
316,Palmer,US,42.1584,-72.3287,14.61,76,100,5.01,light snow
317,Middelburg,ZA,-25.7751,29.4648,60.69,88,100,8.14,overcast clouds
318,Savannah Bight,HN,16.45,-85.85,77.11,77,74,21.83,broken clouds
319,El Alto,PE,-4.2714,-81.2147,70.16,78,93,9.4,overcast clouds
320,Batagay-Alyta,RU,67.8006,130.4114,-21.1,96,49,4.74,scattered clouds
321,Padang,ID,-0.9492,100.3543,75.25,93,100,5.55,overcast clouds
322,Roebourne,AU,-20.7833,117.1333,89.8,45,56,12.66,broken clouds
323,Manbij,SY,36.5281,37.9549,36.37,89,97,6.73,overcast clouds
324,Stepnyak,KZ,52.8339,70.7803,1.72,96,25,7.99,scattered clouds
325,Russell,US,32.3502,-85.1999,31.98,52,0,0.0,clear sky
326,Tahoua,NE,14.8888,5.2692,62.33,13,0,13.09,clear sky
327,Kruisfontein,ZA,-34.0033,24.7314,58.89,91,3,4.36,clear sky
328,Izhma,RU,65.0083,53.9113,17.13,91,100,9.75,overcast clouds
329,Constitucion,CL,-35.3333,-72.4167,58.39,93,45,8.39,scattered clouds
330,Kununurra,AU,-15.7667,128.7333,85.98,74,75,12.66,broken clouds
331,Yarkovo,RU,57.4028,67.0786,9.0,93,100,4.65,overcast clouds
332,San Vicente,AR,-26.6167,-54.1333,62.58,90,33,3.67,scattered clouds
333,Port Elizabeth,ZA,-33.918,25.5701,61.11,88,0,4.83,clear sky
334,Yenagoa,NG,4.9247,6.2642,73.06,75,100,0.4,overcast clouds
335,Kiruna,SE,67.8557,20.2251,9.52,92,100,1.14,overcast clouds
336,Salekhard,RU,66.53,66.6019,-25.89,100,91,2.15,overcast clouds
337,Skibbereen,IE,51.55,-9.2667,42.6,79,41,4.07,scattered clouds
338,Paita,PE,-5.0892,-81.1144,72.09,78,30,9.62,scattered clouds
339,Miles City,US,46.4083,-105.8406,35.51,76,100,2.37,overcast clouds
340,Margate,GB,51.3813,1.3862,44.31,74,7,8.01,clear sky
341,Kota Kinabalu,MY,5.9749,116.0724,82.38,78,20,4.61,few clouds
342,Kloulklubed,PW,7.0419,134.2556,81.1,77,99,10.94,overcast clouds
343,Krasnorechenskiy,RU,44.6265,135.3532,-0.13,84,71,12.8,broken clouds
344,Orotukan,RU,62.2667,151.7,-8.07,99,100,2.64,overcast clouds
345,Biak,ID,-0.9131,122.8766,81.34,69,100,2.42,overcast clouds
346,Luba,GQ,3.4568,8.5547,80.8,76,100,2.93,overcast clouds
